composition,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,V,Co,Nb+Ta,Fe,temperature,ys_value,uts_value,elo_value,roa_value
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,25,238.0,647.0,57.0,65.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,100,238.0,540.0,46.0,69.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,200,200.0,491.0,40.0,65.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,300,189.0,480.0,38.0,66.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,400,173.0,482.0,38.0,64.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,500,164.0,459.0,37.0,63.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,550,163.0,448.0,36.0,63.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,600,162.0,424.0,37.0,63.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,650,169.0,391.0,35.0,63.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,700,156.0,337.0,43.0,60.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,750,160.0,281.0,49.0,65.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,800,121.0,221.0,68.0,72.0
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,900,,,,
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513,1000,,,,
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,25,285.0,560.0,73.0,81.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,100,192.0,466.0,59.0,80.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,200,191.0,436.0,44.0,73.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,300,184.0,439.0,46.0,71.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,400,156.0,441.0,45.0,66.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,500,154.0,428.0,44.0,66.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,550,140.0,420.0,43.0,62.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,600,156.0,401.0,44.0,68.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,650,143.0,379.0,38.0,66.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,700,126.0,339.0,41.0,61.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,750,173.0,273.0,45.0,49.0
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,800,,,,
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,900,,,,
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363,1000,,,,
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,25,250.0,590.0,67.0,80.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,100,230.0,491.0,54.0,78.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,200,211.0,450.0,42.0,76.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,300,207.0,450.0,41.0,73.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,400,186.0,459.0,39.0,69.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,500,183.0,448.0,42.0,68.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,550,167.0,435.0,39.0,65.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,600,184.0,413.0,34.0,64.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,650,166.0,400.0,35.0,62.0
