n,Left Rect,Right Rect,Trapezoid,Newton-Cotes 2,Newton-Cotes 3,Newton-Cotes 4,Romberg,Gauss-Legendre,Gauss-Chebyshev
1,0.166201870569715,0.0520591812360818,0.0570713446668167,0.0122917216737939,0.00694992384412332,0.00177946781322841,0.0122917216737939,0.0100980898227176,0.586658369196066
2,0.0780518903734988,0.0310786355293997,0.0234866274220497,0.0122917216737939,0.00694992384412332,0.00177946781322841,0.00575987874594133,0.00625782163586471,0.110857773527109
3,0.0488958125698332,0.0238578713654328,0.0125189706022003,0.0122917216737939,0.00694992384412332,0.00177946781322841,0.000415020297708659,0.00136144377599832,0.0428765423584702
4,0.0349816510908724,0.019583611860577,0.0076990196151477,0.00243648367951366,0.00694992384412332,0.00177946781322841,0.000472964570167216,0.000264699572506348,0.023713651270146
5,0.0270085291727504,0.016643681188409,0.00518242399217071,0.00243648367951366,0.00694992384412332,0.00177946781322841,7.6480534028296E-06,4.83514623692557E-05,0.0152803428836784
6,0.0219014483268519,0.014475393640781,0.00371302734303546,0.000777712923313764,0.00124132733315879,0.00177946781322841,4.02351693660461E-05,8.49163731260035E-06,0.0106789877913211
7,0.0183747252866145,0.0128054249713565,0.00278465015762897,0.000777712923313764,0.00124132733315879,0.00177946781322841,4.00685327757561E-06,1.45143555708448E-06,0.00787367964517248
8,0.0158038713018318,0.0114787601738927,0.0021625555639694,0.000317067546910093,0.00124132733315879,0.000175773138069743,3.68789228649497E-06,2.43203161803391E-07,0.00603936431712695
9,0.0138518608512125,0.0103993671272094,0.00172624686200157,0.000317067546910093,0.000377156394476647,0.000175773138069743,6.41321635871944E-07,4.01354614400987E-08,0.00477658398946949
10,0.0123219487307103,0.00950415644986945,0.0014088961404204,0.000151053523170092,0.000377156394476647,0.000175773138069743,3.60774203576371E-07,6.54420975819346E-09,0.00387129175641617
11,0.0110920632338689,0.00874985056665809,0.00117110633360536,0.000151053523170092,0.000377156394476647,0.000175773138069743,8.35085321281612E-08,1.05668063133734E-09,0.00320060617689147
12,0.0100826823579062,0.00810573862591018,0.000988471865997966,8.0286706985228E-05,0.000149653397354325,3.3791625896827E-05,3.70236009150616E-08,1.69244417156758E-10,0.00269008089193122
13,0.00923989627743787,0.0075494153999311,0.000845240438753443,8.0286706985228E-05,0.000149653397354325,3.3791625896827E-05,1.00443477808074E-08,2.69209165803964E-11,0.00229255687625203
14,0.00852592461088997,0.00706415051809551,0.000730887046397289,4.6299342653034E-05,0.000149653397354325,3.3791625896827E-05,3.9223293580372E-09,4.25576238168689E-12,0.00197701316289637
15,0.00791353678670805,0.00663720000034508,0.000638168393181487,4.6299342653034E-05,7.01364433077885E-05,3.3791625896827E-05,1.16388962154793E-09,6.68027113468208E-13,0.00172237700834912
16,0.00738262853715402,0.00625868720070821,0.000561970668222964,2.84423696406171E-05,7.01364433077885E-05,9.20069115629736E-06,4.23851441609642E-10,1.02976511562293E-13,0.00151393143545624
17,0.00691804476662996,0.00592084063371104,0.000498602066459519,2.84423696406171E-05,7.01364433077885E-05,9.20069115629736E-06,1.3231161524068E-10,1.42822900651665E-14,0.00134114805034576
18,0.00650815150544825,0.00561746248376282,0.000445344510842658,1.83770604565555E-05,3.68841568184975E-05,9.20069115629736E-06,4.63466313576866E-11,3.6005773273529E-16,0.00119633466844321
19,0.00614387354269872,0.00534355023655369,0.000400161653072514,1.83770604565555E-05,3.68841568184975E-05,9.20069115629736E-06,1.488826722936E-11,6.00096221225484E-16,0.00107376591595456
20,0.00581803025278423,0.00509502233750562,0.000361503957639243,1.23732300456451E-05,3.68841568184975E-05,3.12787717047395E-06,5.10297822681302E-12,1.44023093094116E-15,0.000969109430471261
